codigo_ine,nombre,nombre_oficial,provincia_codigo,activo
05029,Bernuy-Zapardiel,Bernuy-Zapardiel,05,True
05030,Berrocalejo de Aragona,Berrocalejo de Aragona,05,True
05033,Blascomillán,Blascomillán,05,True
05034,Blasconuño de Matacabras,Blasconuño de Matacabras,05,True
05035,Blascosancho,Blascosancho,05,True
05036,"Bohodón, El","Bohodón, El",05,True
05037,Bohoyo,Bohoyo,05,True
05038,Bonilla de la Sierra,Bonilla de la Sierra,05,True
05039,Brabos,Brabos,05,True
05040,Bularros,Bularros,05,True
05041,Burgohondo,Burgohondo,05,True
05042,Cabezas de Alambre,Cabezas de Alambre,05,True
05043,Cabezas del Pozo,Cabezas del Pozo,05,True
05044,Cabezas del Villar,Cabezas del Villar,05,True
05045,Cabizuela,Cabizuela,05,True
05046,Canales,Canales,05,True
05047,Candeleda,Candeleda,05,True
05048,Cantiveros,Cantiveros,05,True
05049,Cardeñosa,Cardeñosa,05,True
05051,"Carrera, La","Carrera, La",05,True
05052,Casas del Puerto,Casas del Puerto,05,True
05053,Casasola,Casasola,05,True
05054,Casavieja,Casavieja,05,True
05055,Casillas,Casillas,05,True
05056,Castellanos de Zapardiel,Castellanos de Zapardiel,05,True
05057,Cebreros,Cebreros,05,True
05058,Cepeda la Mora,Cepeda la Mora,05,True
05059,Cillán,Cillán,05,True
05060,Cisla,Cisla,05,True
05061,"Colilla, La","Colilla, La",05,True
05062,Collado de Contreras,Collado de Contreras,05,True
05063,Collado del Mirón,Collado del Mirón,05,True
05064,Constanzana,Constanzana,05,True
05065,Crespos,Crespos,05,True
05066,Cuevas del Valle,Cuevas del Valle,05,True
05067,Chamartín,Chamartín,05,True
05069,Donjimeno,Donjimeno,05,True
05070,Donvidas,Donvidas,05,True
05072,Espinosa de los Caballeros,Espinosa de los Caballeros,05,True
05073,Flores de Ávila,Flores de Ávila,05,True
05074,Fontiveros,Fontiveros,05,True
05075,Fresnedilla,Fresnedilla,05,True
05076,"Fresno, El","Fresno, El",05,True
05077,Fuente el Saúz,Fuente el Saúz,05,True
05078,Fuentes de Año,Fuentes de Año,05,True
05079,Gallegos de Altamiros,Gallegos de Altamiros,05,True
05080,Gallegos de Sobrinos,Gallegos de Sobrinos,05,True
05081,Garganta del Villar,Garganta del Villar,05,True
05082,Gavilanes,Gavilanes,05,True
05083,Gemuño,Gemuño,05,True
05084,Gilbuena,Gilbuena,05,True
05085,Gil García,Gil García,05,True
05086,Gimialcón,Gimialcón,05,True
05087,Gotarrendura,Gotarrendura,05,True
05088,Grandes y San Martín,Grandes y San Martín,05,True
05089,Guisando,Guisando,05,True
05090,Gutierre-Muñoz,Gutierre-Muñoz,05,True
05092,Hernansancho,Hernansancho,05,True
05093,Herradón de Pinares,Herradón de Pinares,05,True
05094,Herreros de Suso,Herreros de Suso,05,True
05095,Higuera de las Dueñas,Higuera de las Dueñas,05,True
05096,"Hija de Dios, La","Hija de Dios, La",05,True
05097,"Horcajada, La","Horcajada, La",05,True
05099,Horcajo de las Torres,Horcajo de las Torres,05,True
05100,"Hornillo, El","Hornillo, El",05,True
05101,Hoyocasero,Hoyocasero,05,True
05102,"Hoyo de Pinares, El","Hoyo de Pinares, El",05,True
05103,Hoyorredondo,Hoyorredondo,05,True
05104,Hoyos del Collado,Hoyos del Collado,05,True
05105,Hoyos del Espino,Hoyos del Espino,05,True
05106,Hoyos de Miguel Muñoz,Hoyos de Miguel Muñoz,05,True
05107,Hurtumpascual,Hurtumpascual,05,True
05108,Junciana,Junciana,05,True
05109,Langa,Langa,05,True
05110,Lanzahíta,Lanzahíta,05,True
05112,"Losar del Barco, El","Losar del Barco, El",05,True
05113,"Llanos de Tormes, Los","Llanos de Tormes, Los",05,True
05114,Madrigal de las Altas Torres,Madrigal de las Altas Torres,05,True
05115,Maello,Maello,05,True
05116,Malpartida de Corneja,Malpartida de Corneja,05,True
05117,Mamblas,Mamblas,05,True
05118,Mancera de Arriba,Mancera de Arriba,05,True
05119,Manjabálago y Ortigosa de Rioalmar,Manjabálago y Ortigosa de Rioalmar,05,True
05120,Marlín,Marlín,05,True
05121,Martiherrero,Martiherrero,05,True
05122,Martínez,Martínez,05,True
05123,Mediana de Voltoya,Mediana de Voltoya,05,True
05124,Medinilla,Medinilla,05,True
05125,Mengamuñoz,Mengamuñoz,05,True
05126,Mesegar de Corneja,Mesegar de Corneja,05,True
05127,Mijares,Mijares,05,True
05128,Mingorría,Mingorría,05,True
