codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp
08,Barcelona,PARA LA INVESTIGACIÓN Y RESPALDO DE LAS PERSONAS INFECTADAS POR EL VIRUS CAUSANTE DEL SINDROME DE LA INMUNODEFICIENCIA ADQUIRIDA (FIRSIDA),https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4249&index=1&lang=es_ES,=4249,2026-01-27T18:50:08.985222
08,Barcelona,THE WORLD BRONCHOLOGY FOUNDATION (WBF),https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4315&index=1&lang=es_ES,=4315,2026-01-27T18:50:08.996593
08,Barcelona,INSTITUTO DE TRASTORNOS ALIMENTARIOS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4343&index=1&lang=es_ES,=4343,2026-01-27T18:50:09.016119
08,Barcelona,IBEROAMERICANA DEL CONOCIMIENTO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4347&index=1&lang=es_ES,=4347,2026-01-27T18:50:09.031662
09,Burgos,LEANDRO JIMÉNEZ GARCÉS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4091&index=1&lang=es_ES,=4091,2026-01-27T18:50:12.502747
09,Burgos,ENERGÍAS LIMPIAS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5069&index=1&lang=es_ES,=5069,2026-01-27T18:50:12.527961
09,Burgos,UNIVERSIDAD INTERNACIONAL ISABEL I DE CASTILLA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=5517&index=1&lang=es_ES,=5517,2026-01-27T18:50:12.543790
09,Burgos,INSTITUTO DE ESTUDIOS CASTELLANOS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10073&index=1&lang=es_ES,=10073,2026-01-27T18:50:12.565829
09,Burgos,MERINDADES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10091&index=1&lang=es_ES,=10091,2026-01-27T18:50:12.581685
09,Burgos,SANTA ANA DE MENA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=10315&index=1&lang=es_ES,=10315,2026-01-27T18:50:12.597400
09,Burgos,SILOS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=14482&index=1&lang=es_ES,=14482,2026-01-27T18:50:12.605580
09,Burgos,CID,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15734&index=1&lang=es_ES,=15734,2026-01-27T18:50:12.626177
09,Burgos,LABORAL SONSOLES BALLVÉ LANTERO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15907&index=1&lang=es_ES,=15907,2026-01-27T18:50:12.636669
09,Burgos,PROYECTO ANTER,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=15937&index=1&lang=es_ES,=15937,2026-01-27T18:50:12.657695
09,Burgos,ANA MATA MANZANEDO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16166&index=1&lang=es_ES,=16166,2026-01-27T18:50:12.676895
09,Burgos,ALTER,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16168&index=1&lang=es_ES,=16168,2026-01-27T18:50:12.697521
09,Burgos,LESMES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16169&index=1&lang=es_ES,=16169,2026-01-27T18:50:12.716333
09,Burgos,DENNIS DESARROLLO TECNICO SOLIDARIO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16170&index=1&lang=es_ES,=16170,2026-01-27T18:50:12.732113
09,Burgos,CISA CENTRAL INTEGRAL DE SERVICIOS ASPANIAS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16171&index=1&lang=es_ES,=16171,2026-01-27T18:50:12.744545
09,Burgos,MIRADAS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16172&index=1&lang=es_ES,=16172,2026-01-27T18:50:12.751203
09,Burgos,AIDA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=16173&index=1&lang=es_ES,=16173,2026-01-27T18:50:12.771763
09,Burgos,HUGO POMAR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=17187&index=1&lang=es_ES,=17187,2026-01-27T18:50:12.781845
