Número de Inscripción,Número de Inscripción Antiguo,Sección,Nombre,Nombre Genérico,Fecha de Inscripción,Tipo de Entidad,Confesión,Subconfesión,Ámbito,Domicilio,Poblacion,Provincia,Codigo Postal,Comunidad Autónoma,Web,Representantes legales,Federaciones
21104,7912-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS,,20110413,ASOCIACIÓN,CATÓLICOS, ,,"SACRISTIA, 1",ERA ALTA,MURCIA,0,MURCIA,,ANTONIO SEGURA MELGAREJO,
24039,,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS DE LA COLUMNA Y SANTISIMO CRISTO DE LA SANGRE DE AGUILAS,,20180406,ASOCIACIÓN,CATÓLICOS, ,,"SEVERO MONTALVO, 19",AGUILAS ,MURCIA,30880,MURCIA,,SEBASTIAN MUÑOZ MUÑOZ,CABILDO DE COFRADIAS Y HERMANDADES PASIONARIAS DE AGUILAS 
21908,8720-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS DE LA REDENCION,,20131111,ASOCIACIÓN,CATÓLICOS, ,,"NUESTRA SEÑORA DE LA FUENSANTA, 3, 2º A",JUMILLA,MURCIA,0,MURCIA,,D. ANTONIO RAMOS BERNAL,
27537,,Sección Especial (Católicas),"COFRADIA DE NUESTRO PADRE JESUS EN LA CAIDA, DE SANTOMERA ",,20241104,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA DE LA IGLESIA, 1 PARROQUIA DE NUESTRA SEÑORA DEL ROSARIO", SANTOMERA ,MURCIA,30140,MURCIA,,JOSE ANTONIO MARTINEZ MOLINERO,CABILDO SUPERIOR DE COFRADIAS PASIONARIAS DE SANTOMERA (MURCIA)
17372,4225-/0-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO,,19970512,ASOCIACIÓN,CATÓLICOS, ,,IGLESIA DE LA CONCEPCION - PARROQUIA SANTA MARIA MAGDALENA,CEHEGIN,MURCIA,0,MURCIA,,D. FRANCISCO JAVIER ZARZO GARCIA,JUNTA CENTRAL DE COFRADIAS DE SEMANA SANTA DE CEHEGIN
21423,8226-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO,,20120328,ASOCIACIÓN,CATÓLICOS, ,,"ALFONSO XIII, 2",JAVALI NUEVO,MURCIA,0,MURCIA,,CRISTOBAL RUIZ PERELLON,
22175,,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO,,20140718,ASOCIACIÓN,CATÓLICOS, ,,PLAZA DE LA CONSTITUCION S/N PARROQUIA DE SAN PEDRO APOSTOL,SAN PEDRO DEL PINATAR,MURCIA,30740,MURCIA,,Dª MONICA SANCHEZ RODRIGUEZ,CABILDO SUPERIOR DE SEMANA SANTA DE SAN PEDRO DEL PINATAR
24579,,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO DE CALASPARRA,,20190314,ASOCIACIÓN,CATÓLICOS, ,,ESPERANZA 1  PARROQUIA ,CALASPARRA ,MURCIA,30420,MURCIA,,ANTONIO JESUS NAVARRO RODRIGUEZ,
24802,,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO DE MAZARRON,,20190829,ASOCIACIÓN,CATÓLICOS, ,,PARROQUIA SAN ANDRES-SAN ANTONIO DE PADUA CALLE RAMON Y CAJAL S/N,MAZARRON,MURCIA,30870,MURCIA,,JUAN ANDRES ZAMORA MENDEZ,
18098,4932-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO LOS MORAOS,,20010122,ASOCIACIÓN,CATÓLICOS, ,,"MOLINO, S/N",BULLAS,MURCIA,0,MURCIA,,ANA MARIA SERRANO LOPEZ,CABILDO SUPERIOR DE COFRADIAS DE BULLAS
17512,4364-/0-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO Y CRISTO YACENTE,,19980303,ASOCIACIÓN,CATÓLICOS, ,,"ESPAÑA, 3 - BASILICA DE LA PURISIMA",YECLA,MURCIA,0,MURCIA,,ANTONIO MIGUEL MARTINEZ QUINTANILLA,
23141,,Sección Especial (Católicas),COFRADIA DE NUESTRO PADRE JESUS NAZARENO Y LA PIEDAD DE MORATALLA,,20161017,ASOCIACIÓN,CATÓLICOS, ,,"CALLE MAYOR, 3   PARROQUIA",MORATALLA,MURCIA,30440,MURCIA,,Ricardo LOPEZ NAVARRO,
