Denomiancion ERE,provincia_entidad,poblacion_entidad,Denominacion BDNS,provincia_subvencionada,localidad_subvencionada
COFRADIA NUESTRA SEÃORA DE LOS DOLORES,alicante,catral,Cofradía N. Sra. de los Dolores,albacete,hellín
COFRADIA NUESTRO PADRE JESUS DE LA SALUD,alicante,rafal,A. N. Padre Jesús de la Salud,sevilla,mairena del a.
COFRADIA NUESTRO PADRE JESUS NAZARENO,alicante,crevillent,Cofradía N. Padre Jesús Nazareno,granada,baza
COFRADIA SAGRADO CORAZON DE JESUS,alicante,rafal,Colegio Diocesano Sagrado Corazón de Jesús,valencia,alginet
COFRADIA SANTISIMO CRISTO DE LA SALUD,alicante,catral,Cofradía Jesús de la Salud,cádiz,cádiz
COFRADIA SANTISIMO CRISTO DEL DESCENDIMIENTO,alicante,crevillent,Hermandad Cristo del Descendimiento,córdoba,córdoba
COFRADIA VIRGEN DE LAS ANGUSTIAS,alicante,crevillent,Cofradía N. Sra. de las Angustias,cádiz,cádiz
COMUNIDAD DE OBLATAS DEL SANTISIMO REDENTOR ALICANTE,alicante,alicante,Oblatas del Santísimo Redentor,almería,almería
COMUNIDAD SAGRADO CORAZON DE JESUS,alicante,denia,Colegio Diocesano Sagrado Corazón de Jesús,valencia,alginet
COMUNIDAD SANTA MARIA MAGDALENA,alicante,novelda,Hermandad Santa Maria Magdalena,murcia,cieza
CONVENTO COLEGIO DE SAN FRANCISCO,alicante,cocentaina,Convento de San Francisco,a coruña,santiago
HERMANDAD DE JESUS CAIDO DE NOVELDA,alicante,novelda,Hermandad Jesús atado a la Columna,alicante,alicante
HERMANDAD DE JESUS TRIUNFANTE DE ALICANTE,alicante,alicante,Hermandad Jesús Triunfante,alicante,alicante
HERMANDAD DE JESUS Y LA VERONICA,alicante,redovan,Hermandad Jesús en Samaria,alicante,alicante
HERMANDAD DE LA ORACION EN EL HUERTO,alicante,aspe,Hermandad Oración en el Huerto,albacete,hellín
HERMANDAD DE LA SANTA CENA,alicante,crevillente,Hermandad de la Santa Cena,albacete,hellín
HERMANDAD DE MARIA SANTISIMA DE LA CARIDAD,alicante,elche,Hermandad María Santísima,albacete,hellín
HERMANDAD DE NUESTRA SEÃORA DE LA SOLEDAD DE SANTA MARIA DE ALICANTE,alicante,alicante,Hermanas de la Virgen - Colegio Santa María del Carmen,alicante,alicante
HERMANDAD DE NUESTRA SEÃORA DE LAS ANGUSTIAS,alicante,orihuela,Hermandad N. Sra. de las Angustias,almería,cuevas de a.
HERMANDAD DE NUESTRO PADRE JESUS NAZARENO,alicante,pinoso,Hermandad Salesiano de Nuestro Padre Jesús Nazareno,córdoba,palma del río
HERMANDAD DE NUESTRO PADRE JESUS NAZARENO,alicante,novelda,Hermandad Salesiano de Nuestro Padre Jesús Nazareno,córdoba,palma del río
HERMANDAD DE NUESTRO PADRE JESUS Y SANTO SEPULCRO,alicante,alicante,Hermandad Nuestro Padre Jesús,córdoba,córdoba
HERMANDAD DEL SAGRADO CORAZON DE JESUS DE CATRAL,alicante,catral,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
HERMANDAD DEL SANTISIMO CRISTO DE LAS PENAS,alicante,villena,Hermandad del Cristo de la Paz,barcelona,castelldefels
"HERMANDAD DEL SANTISIMO CRISTO, DE MURO DE ALCOY",alicante,muro de alcoy,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTO SEPULCRO,alicante,novelda,Hermandad del Santo Sepulcro,albacete,tobarra
HERMANDAD DEL SILENCIO,alicante,benijofar,Hermandad del Silencio,ciudad real,daimiel
HERMANDAD DEL SILENCIO,alicante,rafal,Hermandad del Silencio,ciudad real,daimiel
HERMANDAD NUESTRO PADRE JESÃS NAZARENO,alicante,rafal,Hermandad Padre Nazareno,cádiz,cádiz
HERMANDAD PENITENCIAL DE LA SANTA CRUZ,alicante,alicante,Hermandad de la Santa Cruz,albacete,hellín
HERMANDAD SACRAMENTAL DE LA SANTA CENA,alicante,benidorm,Hermandad de la Santa Cena,albacete,hellín
HERMANDAD SALESIANA DEL SANTISIMO CRISTO DEL AMOR,alicante,elche,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD VIRGEN DE LA SOLEDAD,alicante,pinoso,Hermandad Virgen de la Soledad,guadalajara,azuqueca
HERMANDAD VIRGEN DE LOS DOLORES,alicante,pinoso,Hermandad Virgen de los Dolores,almería,huércal de a.
HERMANDAD VIRGEN DEL ROCIO,alicante,torrevieja,Hermandad Virgen del Rocío,granada,baza
HERMANITAS DE LOS ANCIANOS DESAMPARADOS ALCOY,alicante,alcoy,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS ELCHE,alicante,elche,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS JIJONA,alicante,jijona,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS MONOVAR,alicante,monovar,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS NOVELDA,alicante,novelda,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS VILLENA,alicante,villena,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANOS MARISTAS SAGRADO CORAZON ALICANTE,alicante,alicante,Maristas - Colegio Sagrado Corazón,alicante,alicante
MAYORDOMIA DEL SANTISIMO SACRAMENTO,alicante,orihuela (san bartolome),Cofradía del Santísimo Sacramento,burgos,burgos
PENITENCIAL HERMANDAD DE JESUS ATADO A LA COLUMNA EN SU SANTA FLAGELACION DE ALICANTE,alicante,alicante,Hermandad Jesús atado a la Columna,alicante,alicante
