Denomiancion ERE,provincia_entidad,poblacion_entidad,Denominacion BDNS,provincia_subvencionada,localidad_subvencionada
RELIGIOSAS DE MARIA INMACULADA -CASA DE SEVILLA-,sevilla,sevilla,Religiosas de María Inmaculada - Colegio,barcelona,barcelona
	COLEGIO SAGRADO CORAZON	,soria,santa maria de huerta,Maristas - Colegio Sagrado Corazón,alicante,alicante
	CONVENTO DE SAN FRANCISCO	,soria,soria,Convento de San Francisco,a coruña,santiago
	MONASTERIO DE LA CONCEPCION	,soria,agreda,Clarisas - Monasterio de la Concepción,pontevedra,tui
	MONASTERIO DE LA SANTISIMA TRINIDAD	,soria,soria,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	MONASTERIO DE SANTA CLARA	,soria,soria,Clarisas - Monasterio de Santa Clara,murcia,caravaca
	MONASTERIO DE SANTA MARIA DE HUERTA	,soria,santa maria de huerta,Monasterio Santa María la Real,la rioja,nájera
COFRADIA DE LA ENTRADA DE JESUS EN JERUSALEN DE SORIA,soria,soria,Cofradía Entrada Jesús en Jerusalén,zaragoza,muel
COFRADIA DE LAS SANTAS CAIDAS DE JESUS DE SORIA,soria,soria,Cofradía de la Sentencia de Jesús,alicante,alicante
COFRADIA DEL SANTO ENTIERRO DE CRISTO DE SORIA,soria,soria,Cofradía de la Sangre de Cristo,valencia,lliria
FEDERACION CATOLICA DE PADRES DE ALUMNOS,soria,soria,Federación Asociaciones Católicas de Padres de Alumnos,zaragoza,zaragoza
	ASILO DE ANCIANOS	,tarragona,reus,Residencia Diocesana de Ancianos,tarragona,tortosa
	COMUNIDAD SAGRADO CORAZON	,tarragona,amposta,Caridad Sagrado Corazón,madrid,madrid
	MONASTERIO DE SANTA CLARA	,tarragona,reus,Clarisas - Monasterio de Santa Clara,murcia,caravaca
	MONASTERIO DE SANTA MARIA DE LA SERRA	,tarragona,montblanc,Monasterio Santa María la Real,la rioja,nájera
	MONASTERIO DE SANTA MARIA MAGDALENA	,tarragona,ulldecona,Monasterio Santa María la Real,la rioja,nájera
	MONASTERIO DEL SAGRADO CORAZON	,tarragona,amposta,Misioneros del Sagrado Corazón,madrid,madrid
	MONASTERIO DEL SAGRADO CORAZON DE JESUS	,tarragona,mora  dâ´ebre,Misioneros del Sagrado Corazón de Jesús,valladolid,valladolid
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,tarragona,reus,Religiosas de María Inmaculada - Servicio Doméstico,melilla,melilla
CARITAS DE CATALUNYA,tarragona,tarragona,Pastorets de Catalunya,barcelona,barcelona
COFRADIA DE LA VERONICA DE REUS,tarragona,reus,Cofradía de la Verónica,tarragona,reus
COFRADIA DE SANT MAGI MARTIR,tarragona,tarragona,Cofradía de Sant Magi Mártir,tarragona,tarragona
COFRADIA DEL SANTO CRISTO DE LA PURISIMA,tarragona,tortosa,Cofradía del Santísimo Cristo,zaragoza,malon
COMUNIDAD DE JESUS,tarragona,reus,Compañía Santa Teresa de Jesús,tarragona,tortosa
COMUNIDAD TERESIANA JESUS TORTOSA,tarragona,,Compañía Santa Teresa de Jesús,tarragona,tortosa
HERMANDAD DE LA VIRGEN MARIA Y SAN JOSE,tarragona,mont-roig del camp (miami platja),Hermanas de María y José,león,león
HOSPITALITAT DE LA MARE DE DEU DE LOURDES,tarragona,tarragona,Hospitalitat Mare de Deu de Lourdes,barcelona,barcelona
	CASA COLEGIO SAN NICOLAS DE BARI	,teruel,teruel,Parroquia San Nicolás de Bari,ávila,ávila
	CASA FAMILIAR LA INMACULADA	,teruel,burbaguena,Casa del Amparo Inmaculada,zaragoza,alagón
	CASA NUESTRA SEÃORA DE LOS DOLORES	,teruel,gea de albarracin,Asilo N. Sra. de los Dolores,alicante,benissa
	COMUNIDAD DEL COLEGIO DE LA INMACULADA	,teruel,alcaãiz,Caridad de Santa Ana - Colegio La Inmaculada,teruel,alcañiz
	COMUNIDAD EN RESIDENCIA SAGRADO CORAZON DE JESUS	,teruel,teruel,Colegio Diocesano Sagrado Corazón de Jesús,valencia,alginet
	COMUNIDAD HIJAS DE LA CARIDAD	,teruel,andorra,Hijas de la Caridad,almería,almería
	CONVENTO DE LA INMACULADA	,teruel,burbaguena,Colegio Diocesano Inmaculada,valencia,xátiva
	FRATERNIDAD VIRGEN DEL PILAR	,teruel,teruel,Hermandad Virgen del Pilar,toledo,navalmorales
COFRADIA DE LA SANGRE DE CRISTO,teruel,fuentes claras,Cofradía de la Sangre de Cristo,valencia,lliria
HERMANDAD DE JESUS NAZARENO,teruel,alcaãiz,Hermandad de Jesús Nazareno,almería,benahadux
HERMANITAS DE LOS ANCIANOS DESAMPARADOS ALCAÃIZ,teruel,alcaãiz,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS TERUEL,teruel,teruel,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
	CASA COLEGIO AMOR DE DIOS	,toledo,madridejos,Mercedarias - Colegio Madre de Dios,murcia,lorca
	CASA DE NAZARET	,toledo,toledo,Cofradía Jesús de Nazaret,alicante,alicante
	CASA DE SAN JOSE	,toledo,corral de almaguer,Siervas de San José,madrid,madrid
	CASA DEL SANTISIMO SACRAMENTO	,toledo,yepes,Cofradía del Santísimo Sacramento,burgos,burgos
	CASA NUESTRA SEÃORA DE LA PIEDAD	,toledo,villanueva de alcardete,Cofradía N. Sra. de la Piedad,alicante,alicante
	CASA SANTA MARIA	,toledo,toledo,Basílica Santa María,alicante,elche
	CASA SANTA MARIA DEL PRADO	,toledo,talavera de la reina,Basílica N. Sra. del Prado,toledo,toledo
	CISTERCIENSES MONASTERIO DE LA ENCARNACION	,toledo,talavera de la reina,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	COMUNIDAD AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,toledo,toledo,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD DE AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,toledo,almorox,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD DEL BUEN PASTOR	,toledo,toledo,Caridad del Buen Pastor,badajoz,badajoz
	COMUNIDAD NUESTRA SEÃORA DE LA ESPERANZA	,toledo,la villa de don fadrique,Cofradía N. Sra. de la Esperanza,granada,baza
	CONGREGACION SIERVAS DEL CORAZON DE JESUS	,toledo,urda,Obreras del Corazón de Jesús,córdoba,córdoba
	CONVENTO DE LA ENCARNACION	,toledo,cuerva,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	CONVENTO DE LA INMACULADA CONCEPCION	,toledo,la puebla de montalban,Colegio Diocesano Asilo Inmaculada Concepción,valencia,cullera
	CONVENTO DE LA PURISIMA CONCEPCION	,toledo,toledo,Hermandad de la Purísima Concepción,córdoba,córdoba
	CONVENTO DE LA PURISIMA CONCEPCION	,toledo,toledo,Hermandad de la Purísima Concepción,córdoba,córdoba
	CONVENTO DE LA PURISIMA CONCEPCION	,toledo,quintanar de la orden,Hermandad de la Purísima Concepción,córdoba,córdoba
	CONVENTO DE LA PURISIMA CONCEPCION	,toledo,el toboso,Hermandad de la Purísima Concepción,córdoba,córdoba
	CONVENTO DE LA SANTA CRUZ	,toledo,casarrubios del monte,Cofradía de la Santa Cruz,badajoz,la guareña
	CONVENTO DE SAN CLEMENTE	,toledo,toledo,Cistercienses - Convento de San Clemente,toledo,toledo
	CONVENTO DE SANTA ANA	,toledo,madridejos,Cofradía de Santa Ana,albacete,cenizate
	CONVENTO DEL ESPIRITU SANTO	,toledo,toledo,Misioneros del Espíritu Santo,madrid,madrid
	CONVENTO DEL ESPIRITU SANTO	,toledo,fuensalida,Misioneros del Espíritu Santo,madrid,madrid
	MONASTERIO DE JESUS Y MARIA	,toledo,toledo,Casa de Jesús-María,cádiz,jerez
	MONASTERIO DE LA INMACULADA CONCEPCION	,toledo,torrijos,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	MONASTERIO DE LA PURISIMA CONCEPCION	,toledo,illescas,Hermandad de la Purísima Concepción,córdoba,córdoba
	MONASTERIO DE SAN PABLO	,toledo,toledo,Jerónimas - Monasterio de San Pablo,toledo,toledo
	MONASTERIO DE SANTA MARIA DEL SAGRARIO	,toledo,toledo,Monasterio Santa María la Real,la rioja,nájera
ARCHICOFRADIA DE NUESTRO PADRE JESUS NAZARENO DE OCAÃA,toledo,ocaãa,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
ASOCIACION VIRGEN DE LA MISERICORDIA,toledo,toledo,Casa de la Misericordia,cáceres,cáceres
CIRCULO CATOLICO RECREATIVO DEL SAGRADO CORAZON DE JESUS,toledo,villafranca de los caballeros,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
COFRADIA DE ESCLAVAS DE JESUS NAZARENO,toledo,urda,Cofradía Esclavitud Jesús Nazareno,guadalajara,guadalajara
COFRADIA DE LA SANTA CARIDAD,toledo,toledo,Hermandad de la Santa Caridad,cádiz,cádiz
COFRADIA DE NUESTRO PADRE JESUS NAZARENO,toledo,corral de almaguer,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO DE BELVIS DE LA JARA,toledo,belvis de la jara,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO DE CAMARENA,toledo,camarena,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
"COFRADIA DE NUESTRO PADRE JESUS NAZARENO, DE COBEJA",toledo,cobeja,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DEL CRISTO DE LA BUENA MUERTE,toledo,toledo,Cofradía del Cristo Yacente,guadalajara,guadalajara
COFRADIA DEL SANTISIMO CRISTO DE LA ESPERANZA,toledo,toledo,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DEL PRADO DE MADRIDEJOS,toledo,madridejos,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA ESCLAVITUD DE NUESTRO PADRE JESUS NAZARENO DE ORGAZ,toledo,orgaz,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA SAN ANTONIO ABAD,toledo,sonseca,Cofradía San Antonio Abad,badajoz,navalvillar
COFRADÃA DEL SANTÃSIMO CRISTO DE LA NAVA,toledo,nombela,Cofradía del Santísimo Cristo,zaragoza,malon
COMUNIDAD NUESTRA SEÃORA DEL ROSARIO,toledo,navahermosa,Hermandad N. Sra. del Rosario,murcia,santonera
CONVENTO COLEGIO LA INMACULADA,toledo,la puebla de montalban,Franciscanos - Colegio La Inmaculada,toledo,la puebla de montalbán
HERMANAS DE MARIA STELLA MATUTINA,toledo,almonacid de toledo,Hermanas de María y José,león,león
HERMANDAD DE CRISTO RESUCITADO DE QUISMONDO,toledo,quismondo,Hermandad Cristo Resucitado,albacete,hellín
HERMANDAD DE JESUS NAZARENO,toledo,olias del rey,Hermandad de Jesús Nazareno,almería,benahadux
HERMANDAD DE JESUS NAZARENO DE CARMENA,toledo,carmena,Hermandad de Jesús Nazareno,almería,benahadux
HERMANDAD DE JESUS NAZARENO DE FUENSALIDA,toledo,fuensalida,Hermandad de Jesús Nazareno,almería,benahadux
HERMANDAD DE JESUS NAZARENO DE QUERO,toledo,quero,Hermandad de Jesús Nazareno,almería,benahadux
HERMANDAD DE NUESTRA SEÃORA DE LAS ANGUSTIAS DE VILLAMINAYA,toledo,villaminaya,Hermandad N. Sra. de las Angustias,almería,cuevas de a.
HERMANDAD DE NUESTRO PADRE JESUS NAZARENO,toledo,villatobas,Hermandad Salesiano de Nuestro Padre Jesús Nazareno,córdoba,palma del río
"HERMANDAD DE NUESTRO PADRE JESUS NAZARENO DE AJOFRIN ",toledo,ajofrin,Hermandad Salesiano de Nuestro Padre Jesús Nazareno,córdoba,palma del río
"HERMANDAD DE NUESTRO PADRE JESUS NAZARENO, DE LA GUARDIA (TOLEDO)",toledo,la guardia,Hermandad Salesiano de Nuestro Padre Jesús Nazareno,córdoba,palma del río
HERMANDAD DE SAN ISIDRO LABRADOR,toledo,corral de almaguer,Hermandad San Isidro Labrador,ciudad real,alcázar
HERMANDAD DE SAN ISIDRO LABRADOR,toledo,talavera de la reina,Hermandad San Isidro Labrador,ciudad real,alcázar
HERMANDAD DE SANTA BARBARA,toledo,olias del rey,Parroquia de Santa Barbara,valencia,casinos
HERMANDAD DEL SANTISIMO CRISTO DE LA VEGA,toledo,toledo,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DE LA VIGA,toledo,villacaãas,Hermandad del Cristo de la Paz,barcelona,castelldefels
HERMANDAD DEL SANTISIMO CRISTO DEL OLVIDO DE CHUECA,toledo,chueca,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD DEL SANTO CRISTO DE MIGUEL ESTEBAN,toledo,miguel esteban,Hermandad del Santo Cristo,barcelona,sant pere de r.
HERMANDAD NUESTRA SEÃORA DEL SOCORRO,toledo,orgaz,Hermandad N. Sra. del Socorro,córdoba,córdoba
HERMANDAD NUESTRO PADRE JESUS NAZARENO,toledo,villacaãas,Hermandad N. Padre Jesús Nazareno,córdoba,fuente palmera
HERMANITAS DE LOS ANCIANOS DESAMPARADOS TOLEDO,toledo,toledo,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
OBRA DE LA IGLESIA,toledo,toledo,Obra de la Iglesia,madrid,madrid
REAL ARCHICOFRADIA DE LA VERA CRUZ,toledo,urda,Archicofradía de la Vera Cruz,huesca,huesca
RELIGIOSAS DE MARIA INMACULADA -CASA DE TOLEDO-,toledo,toledo,Religiosas de María Inmaculada - Colegio,barcelona,barcelona
SEMINARIO CONCILIAR DE SAN ILDEFONSO,toledo,toledo,Seminario Conciliar San Ildefonso,toledo,toledo
	 CASA DE JESUS-MARIA	,valencia,valencia,Casa de Jesús-María,cádiz,jerez
	CARTUJA DE SANTA MARIA DE PORTA COELI	,valencia,serra,Parroquia Santa María Magdalena - Cofradías,valencia,l'ollería
	CASA COLEGIO ESCLAVAS DE MARIA	,valencia,valencia,Esclavas de María - Colegio,valencia,valencia
	CASA COLEGIO MARIA INMACULADA	,valencia,alfafar,Esclavas de María Inmaculada,valencia,valencia
	CASA COLEGIO NUESTRA SEÃORA DEL MONTE SION	,valencia,torrent,Capuchinos - Colegio N. Sra. de Monte Sión,valencia,valencia
	CASA COLEGIO SAGRADA FAMILIA	,valencia,massamagrell,Colegio Sagrada Familia,alicante,elda
	CASA COLEGIO SAGRADO CORAZON	,valencia,meliana,Capuchinas - Colegio Sagrado Corazón,valencia,meliana
	CASA COMUNIDAD ESCOLAPIA SAN FRANCISCO DE BORJA	,valencia,gandia,Escolapios - Colegio San Francisco de Borja,valencia,gandía
	CASA COMUNIDAD ESCOLAPIA SAN JOSE DE CALASANZ	,valencia,algemesi,Escolapios - Colegio San José de Calasanz,valencia,algemesí
	CASA CUNA `SANTA ISABEL`	,valencia,valencia,Siervas de la Pasión - Casa Cuna Santa Isabel,valencia,valencia
	CASA DE INMACULADA	,valencia,valencia,Franciscanas de la Inmaculada,valencia,torrent
	CASA DE JESUS	,valencia,valencia,Siervas de Jesús,madrid,madrid
	CASA DE JESUS-MARIA	,valencia,valencia,Casa de Jesús-María,cádiz,jerez
"	CASA DE JESUS-MARIA, VALENCIA	",valencia,paterna,Casa de Jesús-María,cádiz,jerez
	CASA DE LA VIRGEN	,valencia,valencia,Sociedad Venida de la Virgen,alicante,elche
	CASA DE LAS HERMANAS HOSPITALARIAS DEL SAGRADO CORAZON DE JESUS	,valencia,valencia,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	CASA EN COLEGIO SANTISIMO CRISTO DE LA FE	,valencia,alcacer,Clavarios Cristo de la Fe,valencia,mislata
	CASA MADRE DE LA IGLESIA	,valencia,alacuas,Obra de la Iglesia,madrid,madrid
	CASA MONASTERIO DE SANTA MARIA DE EL PUIG	,valencia,el puig de santa maria,Cistercienses - Monasterio Santa María - Tierras,valencia,benaguacil
	CASA NATALICIA DE SAN VICENTE DE FERRER	,valencia,valencia,Cofradía San Vicente Ferrer,valencia,paterna
	CASA NUESTRA SEÃORA DE LOS DESAMPARADOS	,valencia,valencia,Asilo N. Sra. de los Desamparados,valencia,carcaixent
	CASA RESIDENCIA ESCLAVAS DE MARIA	,valencia,valencia,Esclavas de María - Colegio,valencia,valencia
	CASA-CENACULO CENTRO DE FORMACION PROFESIONAL	,valencia,museros,Misioneras Divino Maestro - Centro de Formación Profesional,a coruña,puebla caramiñal
	CASA-CENACULO RESIDENCIA MARIA INMACULADA	,valencia,gandia,Esclavas de María Inmaculada,valencia,valencia
	CENTRO HOGAR NUESTRA SEÃORA DE LOS DESAMPARADOS	,valencia,valencia,Colegio Gran Asociación N. Sra. de los Desamparados,valencia,valencia
	COLEGIO PUREZA DE MARIA	,valencia,valencia,Colegio Ave María - AMPA,granada,albolote
	COLEGIO PUREZA DE MARIA	,valencia,onteniente,Colegio Ave María - AMPA,granada,albolote
	COLEGIO PUREZA DE MARIA	,valencia,valencia,Colegio Ave María - AMPA,granada,albolote
	COLEGIO SAGRADA FAMILIA	,valencia,valencia,Colegio Sagrada Familia,alicante,elda
	COLEGIO SAGRADO CORAZON	,valencia,mislata,Cofradía Sagrado Corazón,valencia,paiporta
	COLEGIO SANTA MARIA	,valencia,alboraya,Jesuitas - Colegio Santa María,a coruña,a coruña
	COMUNIDAD AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,valencia,valencia,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,valencia,picaãa,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD DEL SAGRADO CORAZON	,valencia,valencia,Cofradía del Sagrado Corazón,valencia,tous
	COMUNIDAD EN PARROQUIA DE SAN ROQUE	,valencia,silla,Cáritas Parroquia de San Roque,valencia,silla
	COMUNIDAD EN VIRGEN DEL MILAGRO	,valencia,rafelbuãol,Cofradía Virgen del Milagro,alicante,cocentaina
"	COMUNIDAD HIJAS DE CRISTO REY, BENIFAIO	",valencia,benifayo,Hijas de Cristo Rey - Colegio,badajoz,talarrubias
	COMUNIDAD HIJAS DE LA CARIDAD	,valencia,valencia,Cofradía Cristo de la Caridad,valencia,rafelbunyol
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,valencia,torrent,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,valencia,sueca,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,valencia,valencia,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD-COLEGIO SANTO TOMAS DE VILLANUEVA	,valencia,valencia,Agustinos - Colegio Santo Tomás de Villanueva,valencia,valencia
"	CONGREGACION ""ESCLAVAS DE MARIA""	",valencia,valencia,"Congregación Marta y María ",toledo,navahermosa
"	CONGREGACION ""HERMANAS FRANCISCANAS DE LA INMACULADA"", EN ESPAÃA	",valencia,valencia,Franciscanas de la Inmaculada,valencia,torrent
	CONVENTO DE SAN JUAN DE LA CRUZ	,valencia,valencia,Casa de San Juan de la Cruz,murcia,caravaca
	CONVENTO DE SAN VICENTE FERRER	,valencia,valencia,Cofradía San Vicente Ferrer,valencia,paterna
	CONVENTO DE SANTA MARIA MAGDALENA	,valencia,massamagrell,Cofradía Santa María Magdalena,castellón,vila-real
	CONVENTO DE SANTO DOMINGO	,valencia,torrent,Fundación Santo Domingo,murcia,lorca
"	INSTITUTO SECULAR ""LUMEN CHRISTI""	",valencia,valencia,Instituto Secular Lumen Christi,valencia,valencia
	MONASTERIO  DE LA SAGRADA FAMILIA	,valencia,puzol,Casa de la Sagrada Familia,barcelona,vallvidrera
	MONASTERIO  DE SAN JUAN DE LA CRUZ	,valencia,villar del arzobispo,Casa de San Juan de la Cruz,murcia,caravaca
	MONASTERIO DE LA ENCARNACION	,valencia,valencia,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	MONASTERIO DE LA PURISIMA SANGRE DE CRISTO	,valencia,ontinyent,Cofradía de la Sangre de Cristo,valencia,lliria
	MONASTERIO DE LA SANTISIMA TRINIDAD	,valencia,valencia,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	MONASTERIO DE SAN CRISTOBAL	,valencia,valencia,Cofradía de San Cristóbal,córdoba,pozoblanco
	MONASTERIO DE SANTA CLARA	,valencia,valencia,Clarisas - Monasterio de Santa Clara,murcia,caravaca
	MONASTERIO DE SANTA CLARA	,valencia,canals,Clarisas - Monasterio de Santa Clara,murcia,caravaca
	MONASTERIO DE SANTA CLARA	,valencia,xativa,Clarisas - Monasterio de Santa Clara,murcia,caravaca
	MONASTERIO DE SANTA MARIA DE GRATIA DEI	,valencia,benaguacil,Cistercienses - Monasterio Santa María - Tierras,valencia,benaguacil
	MONASTERIO DE SANTA MARIA DE LA RAPITA	,valencia,gandia,Monasterio Santa María la Real,la rioja,nájera
	MONASTERIO DE SANTA MARIA DE LOS DESAMPARADOS	,valencia,moncada,Cistercienses - Monasterio Santa María - Tierras,valencia,benaguacil
	MONASTERIO DEL SAGRADO CORAZON	,valencia,agullent,Cofradía del Sagrado Corazón,valencia,tous
	PALACIO DEL SANTO DUQUE	,valencia,gandia,Jesuitas - Palacio Residencia del Santo Duque,valencia,gandía
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,valencia,carcaixent,Religiosas de María Inmaculada. Servicio Doméstico,valencia,valencia
	RESIDENCIA SAN IGNACIO	,valencia,valencia,Jesuitas - Residencia San Ignacio,valencia,valencia
APOSTOLADO DE LA DIVINA MISERICORDIA DE VALENCIA,valencia,valencia,Apostolado de la Divina Misericordia,valencia,valencia
"ASOCIACION ""CONGREGACION DEL SANTISIMO SACRAMENTO""",valencia,xativa,Asociación Santísimo Sacramento,a coruña,ribeira
ASOCIACION AMIGOS DE SAN MIGUEL ARCANGEL,valencia,mislata,Clavarios de San Miguel Arcángel,valencia,mislata
ASOCIACION HOGAR PARROQUIAL,valencia,masanasa,Hogar Parroquial,barcelona,cugat del vallés
CASA DE LOS OBREROS SAN VICENTE FERRER,valencia,valencia,Casa de los Obreros San Vivente Ferrer,valencia,valencia
"CASA-COLEGIO SANTISIMA TRINIDAD, VALENCIA",valencia,valencia,Trinitarias - Colegio Santísima Trinidad,salamanca,salamanca
"COFRADIA ""ORACION DE JESUS EN EL HUERTO Y EL SANTO CALIZ""",valencia,lliria,Cofradía Jesús en el Huerto,valencia,carcaixent
COFRADIA DE JESUS DE MEDINACELI DE VALENCIA,valencia,el grao-valencia,Cofradía Jesús en el Huerto,valencia,carcaixent
COFRADIA DE JESUS NAZARENO DE TOUS,valencia,tous,Cofradía de Jesús Nazareno,almería,cuevas de a.
"COFRADIA DE JESUS NAZARENO, DE MOIXENT",valencia,moixent,Cofradía de Jesús Nazareno,almería,cuevas de a.
COFRADIA DE LA CRUCIFIXION DE JESUS,valencia,alzira,Cofradía de la Sentencia de Jesús,alicante,alicante
COFRADIA DE LA FLAGELACION DE JESUS,valencia,sueca,Cofradía de la Sentencia de Jesús,alicante,alicante
COFRADIA DE LA ORACION DE JESUS EN EL HUERTO,valencia,alzira,Cofradía Jesús en el Huerto,valencia,carcaixent
"COFRADIA DE LA ORACION DE JESUS EN EL HUERTO, DE CULLERA",valencia,cullera,Cofradía Jesús en el Huerto,valencia,carcaixent
COFRADIA DE LA SOLEDAD,valencia,ontinyent,Cofradía de la Soledad,cádiz,puerto real
COFRADIA DE LA VERA CRUZ,valencia,alboraya,Cofradía de la Vera Cruz,burgos,medina de pomar
COFRADIA DE LA VIRGEN DE LA SOLEDAD,valencia,gandia,Cofradía Virgen de la Soledad,córdoba,rute
COFRADIA DE NUESTRO PADRE JESUS NAZARENO,valencia,xativa,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
"COFRADIA DE NUESTRO PADRE JESUS NAZARENO, DE L`OLLERIA (VALENCIA)",valencia,l ollerãa,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE SAN ANTONIO DE PADUA,valencia,catarroja,Cofradía San Antonio de Padua,ciudad real,bolaños de c.
COFRADIA DEL CRISTO DE LA BUENA MUERTE,valencia,valencia,Cofradía del Cristo Yacente,guadalajara,guadalajara
COFRADIA DEL CRISTO YACENTE DE FORTALENY,valencia,fortaleny,Cofradía del Cristo Yacente,guadalajara,guadalajara
COFRADIA DEL DESCENDIMIENTO DE LA CRUZ,valencia,alzira,Cofradía Descendimiento de la Cruz,valencia,carcaixent
COFRADIA DEL ECCE HOMO,valencia,sueca,Cofradía del Ecce Homo,murcia,jumilla
COFRADIA DEL SAGRADO CORAZON DE JESUS DE RAFELGUARAF,valencia,rafelguaraf,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
COFRADIA DEL SAGRADO CORAZON DE JESUS DE TOUS,valencia,tous,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
COFRADIA DEL SANTISIMO CRISTO AGONIZANTE,valencia,alcoi,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LA FE,valencia,alcudia,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LA FE,valencia,la caãada-paterna,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LA FE DE ALCASSER,valencia,alcasser,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LA PASIÃN,valencia,llauri,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LA PIEDAD,valencia,catarroja,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LA SALUD,valencia,navarres,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LOS AFLIGIDOS,valencia,siete aguas,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTO SEPULCRO,valencia,ontinyent,Cofradía del Santo Sepulcro,ciudad real,bolaños de c.
COFRADIA DEL SANTO SEPULCRO,valencia,la pobla del duc,Cofradía del Santo Sepulcro,ciudad real,bolaños de c.
COFRADIA DEL SANTO SEPULCRO,valencia,sueca,Cofradía del Santo Sepulcro,ciudad real,bolaños de c.
COFRADIA ECCE HOMO,valencia,alzira,Cofradía Ecce Homo,albacete,hellín
COFRADIA ELS COSTALERS DEL SANTISIMO CRISTO DE SILLA,valencia,silla,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA NUESTRA SEÃORA DE LOS ANGELES,valencia,serra,Cofradía N. Sra. de los Ángeles,palencia,grijota
COFRADIA ORACION DE JESUS EN EL HUERTO,valencia,valencia,Cofradía Jesús en el Huerto,valencia,carcaixent
"COFRADIA SAN VICENTE FERRER,",valencia,lliria,Cofradía San Vicente Ferrer,valencia,paterna
COFRADIA SANGRE DE CRISTO DE AYORA,valencia,ayora,Cofradía de la Sangre de Cristo,valencia,lliria
COFRADIA SANTO SEPULCRO,valencia,moixent,Cofradía Santo Sepulcro,castellón,castellón
COFRADIA VIRGEN DE LOS DESAMPARADOS DE MASSALAVES,valencia,massalavãs,Cofradía Virgen de los Desamparados,valencia,paiporta
COFRADIA VIRGEN DE LOS DESAMPARADOS DE MISLATA,valencia,mislata,Cofradía Virgen de los Desamparados,valencia,paiporta
"COFRADIA VIRGEN DE LOS DESAMPARADOS, DE VALENCIA",valencia,valencia,Cofradía Virgen de los Desamparados,valencia,paiporta
