Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Andalucia Occidental,Sevilla,Lebrija,Lebrija,Nuestra Señora de la Oliva,Almacen Parroquial,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Lebrija,Lebrija,Santísima Trinidad,Capilla,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Lebrija,Lebrija,Nuestra Señora de la Oliva,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Lebrija,Lebrija,Santa María de Jesús,Iglesia,True,Diócesis de Sevilla,False
Andalucia Occidental,Sevilla,Lebrija,Lebrija,La Aurora,Iglesia,True,Diócesis de Sevilla,False
Andalucia Occidental,Sevilla,Los Palacios y Villafranca,Los Palacios y Villafranca,Santa María la Blanca,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Los Palacios y Villafranca,Los Palacios y Villafranca,San Sebastián,Capilla,True,Diócesis de Sevilla,False
Andalucia Occidental,Sevilla,Los Palacios y Villafranca,Los Palacios y Villafranca,La Aurora,Capilla,True,Diócesis de Sevilla,False
Andalucia Occidental,Sevilla,Las Cabezas de San Juan,Las Cabezas de San Juan,San Juan Baustista,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Las Cabezas de San Juan,Las Cabezas de San Juan,San Roque,Parroquia,True,Archidiócesis de Sevilla,False
