comunidad_autonoma_codigo,codigo_ine,codigo_ine_completo,nombre_oficial,nombre_alternativo,nombre_cooficial,provincia_codigo,activo
10,03018,0301807,Altea,Altea,Altea,03,True
10,03019,0301900,Aspe,Aspe,Aspe,03,True
10,03001,0300105,"Atzúbia, l'","Atzúbia, l'","Atzúbia, l'",03,True
10,03020,0302004,Balones,Balones,Balones,03,True
10,03021,0302101,Banyeres de Mariola,Banyeres de Mariola,Banyeres de Mariola,03,True
10,03022,0302206,Benasau,Benasau,Benasau,03,True
10,03023,0302302,Beneixama,Beneixama,Beneixama,03,True
10,03024,0302407,Benejúzar,Benejúzar,Benejúzar,03,True
10,03025,0302500,Benferri,Benferri,Benferri,03,True
10,03026,0302603,Beniarbeig,Beniarbeig,Beniarbeig,03,True
10,03027,0302709,Beniardà,Beniardà,Beniardà,03,True
10,03028,0302805,Beniarrés,Beniarrés,Beniarrés,03,True
10,03030,0303002,Benidoleig,Benidoleig,Benidoleig,03,True
10,03031,0303109,Benidorm,Benidorm,Benidorm,03,True
10,03032,0303204,Benifallim,Benifallim,Benifallim,03,True
10,03033,0303300,Benifato,Benifato,Benifato,03,True
10,03029,0302908,Benigembla,Benigembla,Benigembla,03,True
10,03034,0303405,Benijófar,Benijófar,Benijófar,03,True
10,03035,0303508,Benilloba,Benilloba,Benilloba,03,True
10,03036,0303601,Benillup,Benillup,Benillup,03,True
10,03037,0303707,Benimantell,Benimantell,Benimantell,03,True
10,03038,0303803,Benimarfull,Benimarfull,Benimarfull,03,True
10,03039,0303906,Benimassot,Benimassot,Benimassot,03,True
10,03040,0304000,Benimeli,Benimeli,Benimeli,03,True
10,03041,0304107,Benissa,Benissa,Benissa,03,True
10,03043,0304308,Biar,Biar,Biar,03,True
10,03044,0304403,Bigastro,Bigastro,Bigastro,03,True
10,03045,0304506,Bolulla,Bolulla,Bolulla,03,True
10,03046,0304609,Busot,Busot,Busot,03,True
10,03049,0304904,Callosa de Segura,Callosa de Segura,Callosa de Segura,03,True
10,03048,0304801,Callosa d'en Sarrià,Callosa d'en Sarrià,Callosa d'en Sarrià,03,True
10,03047,0304705,Calp,Calp,Calp,03,True
10,03051,0305104,"Camp de Mirra, el/Campo de Mirra","Camp de Mirra, el",Campo de Mirra,03,True
10,03050,0305007,"Campello, el","Campello, el","Campello, el",03,True
10,03052,0305209,Cañada,Cañada,Cañada,03,True
10,03053,0305305,Castalla,Castalla,Castalla,03,True
10,03054,0305400,Castell de Castells,Castell de Castells,Castell de Castells,03,True
10,03075,0307509,"Castell de Guadalest, el","Castell de Guadalest, el","Castell de Guadalest, el",03,True
10,03055,0305503,Catral,Catral,Catral,03,True
10,03056,0305606,Cocentaina,Cocentaina,Cocentaina,03,True
10,03057,0305702,Confrides,Confrides,Confrides,03,True
10,03058,0305808,Cox,Cox,Cox,03,True
10,03059,0305901,Crevillent,Crevillent,Crevillent,03,True
10,03061,0306102,Daya Nueva,Daya Nueva,Daya Nueva,03,True
10,03062,0306207,Daya Vieja,Daya Vieja,Daya Vieja,03,True
10,03063,0306303,Dénia,Dénia,Dénia,03,True
10,03064,0306408,Dolores,Dolores,Dolores,03,True
10,03066,0306604,Elda,Elda,Elda,03,True
10,03065,0306501,Elx/Elche,Elx,Elche,03,True
10,03067,0306700,Fageca,Fageca,Fageca,03,True
10,03068,0306806,Famorca,Famorca,Famorca,03,True
10,03069,0306909,Finestrat,Finestrat,Finestrat,03,True
10,03077,0307708,"Fondó de les Neus, el/Hondón de las Nieves","Fondó de les Neus, el",Hondón de las Nieves,03,True
10,03070,0307003,Formentera del Segura,Formentera del Segura,Formentera del Segura,03,True
10,03072,0307205,Gaianes,Gaianes,Gaianes,03,True
10,03071,0307100,Gata de Gorgos,Gata de Gorgos,Gata de Gorgos,03,True
10,03073,0307301,Gorga,Gorga,Gorga,03,True
10,03074,0307406,Granja de Rocamora,Granja de Rocamora,Granja de Rocamora,03,True
10,03076,0307602,Guardamar del Segura,Guardamar del Segura,Guardamar del Segura,03,True
10,03078,0307804,Hondón de los Frailes,Hondón de los Frailes,Hondón de los Frailes,03,True
10,03079,0307907,Ibi,Ibi,Ibi,03,True
10,03080,0308001,Jacarilla,Jacarilla,Jacarilla,03,True
10,03085,0308507,Llíber,Llíber,Llíber,03,True
10,03086,0308600,Millena,Millena,Millena,03,True
